NoOfEvals,MyRexJggKTabletP7K5_0,MyRexJggKTabletP7K5_1,MyRexJggKTabletP7K5_2
24900,31.515993551337164,74.97636081848354,201.61932120174112
25000,31.515993551337164,74.97533070868762,201.61855230477593
25100,31.520576885600853,74.97503800771176,201.61855230477593
25200,31.52257408400012,74.97453068384576,201.61855230477593
25300,31.52240414558528,74.97453068384576,201.61859306710033
25400,31.52240414558528,74.9727869905776,201.61859306710033
25500,31.52240414558528,74.96893918873901,201.62081725919367
25600,31.52240414558528,74.96838018507933,201.62075862199353
25700,31.521370804702702,74.96973683045397,201.6211788636098
25800,31.521440910994574,74.96973683045397,201.61892755384463
25900,31.521440910994574,74.96950989140498,201.61892755384463
26000,31.52190335691659,74.96688648374392,201.61766167012647
26100,31.521092834521514,74.96688648374392,201.61766167012647
26200,31.52024442165394,74.96688648374392,201.6147991823493
26300,31.52024442165394,74.96688648374392,201.6147991823493
26400,31.52071893690459,74.96686154922922,201.61430461333347
26500,31.520310155942912,74.96686154922922,201.61430461333347
26600,31.520310155942912,74.96434441906025,201.6118186597096
26700,31.520577886569747,74.96434441906025,201.6118186597096
26800,31.520577886569747,74.96434441906025,201.61241612982502
26900,31.521077016211937,74.96434441906025,201.61241612982502
27000,31.5208005893769,74.96638485213212,201.61241612982502
27100,31.52088095588172,74.96638485213212,201.61241612982502
27200,31.52088095588172,74.96624086595985,201.61241612982502
27300,31.520469804650098,74.9655313865407,201.61273614795303
27400,31.520469804650098,74.96499935000405,201.61382949249207
27500,31.520469804650098,74.96499935000405,201.61382949249207
27600,31.520469804650098,74.96499935000405,201.61382949249207
27700,31.52032752664466,74.96535703276864,201.6132630527452
27800,31.52032752664466,74.96535703276864,201.6132630527452
27900,31.52032752664466,74.96535703276864,201.61321046945514
28000,31.52025287590955,74.965259423689,201.61313021510753
28100,31.52025287590955,74.96437061285698,201.61314606812422
28200,31.52025287590955,74.96462420800803,201.61280745293897
28300,31.520234988833554,74.96485306933484,201.61312988692
28400,31.52021255919979,74.96475779872758,201.61312988692
28500,31.52021255919979,74.96475779872758,201.6132702321901
28600,31.52021255919979,74.96368757593565,201.61219386728422
28700,31.520198415935205,74.96380996020201,201.61219386728422
28800,31.520198415935205,74.96380996020201,201.61244692204104
28900,31.52019588936151,74.96380996020201,201.61244692204104
29000,31.520067089702295,74.96437752479146,201.612618636113
29100,31.520067089702295,74.96394974783475,201.61272061737958
29200,31.520067089702295,74.96394974783475,201.6127240826195
29300,31.520067089702295,74.96394974783475,201.6124661572025
29400,31.519901414076543,74.96394974783475,201.6124661572025
29500,31.5200624749661,74.96394974783475,201.6124661572025
29600,31.519924249748573,74.96391877266844,201.6124661572025
29700,31.519924249748573,74.96385143092357,201.61245613448463
29800,31.51993345470886,74.96403542690139,201.61226035146737
29900,31.51993345470886,74.96385080673505,201.61226035146737
30000,31.51993345470886,74.96385080673505,201.6123284028423
30100,31.51993345470886,74.96398621773068,201.61253019486182
30200,31.51993345470886,74.96387218477287,201.61252062959068
30300,31.51993345470886,74.96376699329147,201.6124664187804
30400,31.51994256013645,74.96387218477287,201.6124664187804
30500,31.51994256013645,74.96389539652965,201.6124664187804
30600,31.51994256013645,74.96389539652965,201.61245169531747
30700,31.519855565467005,74.96389539652965,201.61245169531747
30800,31.519860854188988,74.96389539652965,201.6124528126129
30900,31.519860413810214,74.96390058768709,201.6124528126129
31000,31.519860854188988,74.96390058768709,201.6124528126129
31100,31.519872382032055,74.96388429237282,201.6124528126129
31200,31.5198199610748,74.96373199797205,201.6124528126129
31300,31.5198199610748,74.96373199797205,201.612418429846
31400,31.519852074531233,74.96364327189697,201.612418429846
31500,31.51978756417036,74.96364327189697,201.612418429846
31600,31.51978756417036,74.96364327189697,201.61244894802135
31700,31.51978756417036,74.96356380042256,201.61244894802135
31800,31.51978756417036,74.96356380042256,201.6123966392152
31900,31.51978756417036,74.96356380042256,201.6123966392152
32000,31.51978756417036,74.96355299794034,201.6123966392152
32100,31.51977985283744,74.96350075409752,201.6123747705238
32200,31.51978756417036,74.96350075409752,201.61239518127252
32300,31.51978756417036,74.96350075409752,201.61239315490909
32400,31.51978756417036,74.96350075409752,201.61239315490909
32500,31.519753985938483,74.96351282965064,201.6123875527222
32600,31.519787981507513,74.96351282965064,201.61238612542593
